timestamp,none:startupDurationMs,splunk-otel:startupDurationMs,profiler:startupDurationMs,none:minHeapUsed,splunk-otel:minHeapUsed,profiler:minHeapUsed,none:maxHeapUsed,splunk-otel:maxHeapUsed,profiler:maxHeapUsed,none:totalAllocatedMB,splunk-otel:totalAllocatedMB,profiler:totalAllocatedMB,none:totalGCTime,splunk-otel:totalGCTime,profiler:totalGCTime,none:maxThreadContextSwitchRate,splunk-otel:maxThreadContextSwitchRate,profiler:maxThreadContextSwitchRate,none:iterationAvg,splunk-otel:iterationAvg,profiler:iterationAvg,none:iterationP95,splunk-otel:iterationP95,profiler:iterationP95,none:requestAvg,splunk-otel:requestAvg,profiler:requestAvg,none:requestP95,splunk-otel:requestP95,profiler:requestP95,none:netReadAvg,splunk-otel:netReadAvg,profiler:netReadAvg,none:netWriteAvg,splunk-otel:netWriteAvg,profiler:netWriteAvg,none:peakThreadCount,splunk-otel:peakThreadCount,profiler:peakThreadCount,none:averageCpuUser,splunk-otel:averageCpuUser,profiler:averageCpuUser,none:maxCpuUser,splunk-otel:maxCpuUser,profiler:maxCpuUser,none:averageCpuSystem,splunk-otel:averageCpuSystem,profiler:averageCpuSystem,none:maxCpuSystem,splunk-otel:maxCpuSystem,profiler:maxCpuSystem,none:averageMachineCpuTotal,splunk-otel:averageMachineCpuTotal,profiler:averageMachineCpuTotal,none:runDurationMs,splunk-otel:runDurationMs,profiler:runDurationMs,none:gcPauseMs,splunk-otel:gcPauseMs,profiler:gcPauseMs,none:throughputAvg,splunk-otel:throughputAvg,profiler:throughputAvg
1644015417,20637,22672,22890,89813520,106691584,132646544,370776592,387224576,598319616,79463.9056854248,171884.1059036255,779830.4060745239,2957364670,3263022591,4742382973,36976.73,49130.508,63735.65,606.5639416031785,624.8354674732949,656.2159525941179,686.0161451999998,772.1050762,874.8333456499996,15.066214556895632,24.779365965751822,31.260407641842427,71.63941594999989,108.55567354999994,132.95012084999993,9703239,9727490,9344223,13199261,51558819,53842368,90,102,95,0.3131387,0.39225033,0.41633338,0.55778897,0.53634083,0.54846334,0.18420005,0.23228437,0.26881728,0.235732,0.27764127,0.31782946,0.7198452,0.8513181,0.9125764,175730,180616,189502,3022,3321,4990,889.4353043851755,863.296341276972,822.2734051481727
1644016274,14795,21901,24013,87793568,114512760,126042112,337245304,446693376,552583680,80401.87258148193,176317.32792663574,779829.6264419556,2713281488,3198170929,5896977284,34529.816,46563.44,65936.73,605.3843374102355,622.9640373103543,677.4337342821199,688.8448082,763.4727217499998,910.0155925,15.430806370980434,24.028665320614326,35.56144683617031,71.67514959999997,108.10605019999997,147.9228201499999,9740743,9821907,9137152,13262914,52058808,52699548,78,97,99,0.32008308,0.38405728,0.4482443,0.54545456,0.5550239,0.5707196,0.18460272,0.23037861,0.26752105,0.2375,0.27073172,0.31851852,0.7280692,0.8414761,0.9434078,175782,180609,195785,2779,3264,6283,891.3913125261477,865.7268282242622,796.4195361955756
1644017139,14798,22600,22781,90487936,108404224,111967232,370513232,387960320,593888264,76780.57192230225,167457.4006576538,777108.8678588867,2904368198,3574310714,5277114194,34376.785,53746.98,56397.023,606.1425085309418,625.8381672377642,666.7667446589418,689.2344856,770.4300720499999,891.512248,15.406847539790846,24.49250209420919,33.37924536750356,73.14516324999995,107.22517714999972,141.72285164999974,9674137,9682122,9187216,13155213,51282691,52776658,98,101,104,0.3096821,0.38378954,0.43271753,0.5476773,0.52853596,0.5550122,0.18182436,0.23040268,0.26692566,0.22222222,0.28536585,0.3325062,0.7197135,0.83885545,0.92572963,175782,180848,192637,2980,3673,6091,890.1753086709658,861.9974955311575,809.1802475687906
1644018009,13917,22644,23848,91226112,109690544,126332416,377402176,411729408,613919744,74933.01652526855,166436.75534057617,790508.8795089722,3133025388,4107916430,5158444752,35009.69,47196.625,59093.15,605.7622546279998,625.2914251777645,679.2830142152924,682.5886420999998,772.3092616499999,916.4202795499998,15.14470156866659,24.69794597905203,35.29908809620961,71.42723275,108.04020074999993,149.0440813499999,9556641,9695229,9079826,12998056,51231299,52575712,94,103,108,0.30916387,0.38946173,0.4451268,0.57653064,0.5323383,0.55947137,0.17925452,0.23062564,0.263913,0.23037975,0.2765432,0.33333334,0.7118375,0.8471582,0.933774,177964,180679,196603,3198,4200,5890,890.8255840720528,862.7441287385027,794.1559892150048
1644018866,14815,21847,22800,89412224,112394800,143130624,337641472,388337664,1093139968,78788.39530944824,175364.5743637085,784246.314453125,2896895452,3506673346,4615034235,37521.277,43295.06,55244.312,606.5794557582344,621.5760025161209,648.530802410589,701.8339781499997,755.1017272999999,855.0837344999998,15.286384087398854,23.537823498823634,29.405532039836853,70.58058019999989,105.4110111999998,126.91304449999991,9666125,9869760,9406152,13162796,52281502,53884095,88,97,101,0.3107274,0.38393214,0.4057648,0.565534,0.529563,0.5852018,0.18358287,0.23065831,0.27048352,0.22738387,0.278481,0.31853786,0.7183898,0.8395021,0.9011219,175730,179659,187602,2969,3588,4724,889.5330856539184,867.9409968823754,831.7028443277594
1644019730,14796,22683,22892,92360376,112240456,115094752,336796384,387956736,564336640,79203.67524719238,174905.99925994873,778995.54637146,2946475845,3356643009,5744214817,34383.355,53241.47,53458.56,607.3248025963521,625.9953203952973,666.9267902958775,704.4415522999999,777.2204439,880.9133101499998,16.053215183843253,24.317884485536098,33.197249958215934,74.38710949999992,107.83128374999997,140.72381374999955,9643258,9704838,9281310,13134513,51397911,53383328,86,101,103,0.3280499,0.38254312,0.4342465,0.5597015,0.545,0.55082744,0.18574323,0.23307249,0.26428086,0.24813896,0.28039703,0.31343284,0.7408103,0.8383486,0.92373955,175686,181635,192627,3035,3455,6669,888.4145401045325,861.9149625359311,808.915805716071
1644020590,14870,22978,22773,91414560,112125792,111978704,475111488,387942400,596115456,75251.98406982422,166929.23748779297,784840.3208847046,3478556004,3402934762,5228399666,35047.164,47274.516,53134.184,606.5747266690605,625.0490400638861,656.7960406907076,689.9559740999998,768.30402525,867.5302709999999,15.450636984529343,24.304519503130646,31.821781703496875,72.94409554999997,107.89968414999971,133.14704199999986,9691570,9752110,9347408,13165184,51701876,53447861,102,102,97,0.32052118,0.38696897,0.42158067,0.5682382,0.5469484,0.5479115,0.18167834,0.23040827,0.26829097,0.22857143,0.27047145,0.31443298,0.7253964,0.8397434,0.91797966,175714,180618,189636,3559,3488,5586,889.3994081899182,863.1086495548578,821.4291905194658
1644021451,14950,22799,22829,91349528,111500288,146276352,523716104,388122624,605990400,76514.27117156982,173789.76081085205,775661.423915863,3757854888,3423216048,4834696564,35516.984,53928.113,57729.312,607.2505488277677,625.0014641470573,658.8867683488234,693.3782218,778.9651510499999,880.8962113999999,16.170195924078474,24.5108390054576,32.21110044683021,75.3176995499999,108.04478139999988,134.95065889999998,9621102,9775257,9369198,13079694,51893794,53919725,96,97,101,0.3259732,0.3900747,0.42566955,0.57788944,0.54390246,0.5753086,0.18451296,0.23278926,0.26850912,0.22834645,0.30886075,0.32070708,0.73384124,0.847857,0.9203296,175678,180662,190600,3827,3512,5171,888.5825137379978,863.3396212854865,818.8545440995551
1644022312,14012,21997,22951,92876976,113179472,120726992,325200896,393999872,692134912,75670.77537536621,171639.3814086914,779520.4047164917,2514880941,3478611576,4817154717,34443.434,54959.633,51725.14,607.6167512537659,625.5262354243538,652.1409813012932,709.8018034999999,772.6626511999999,854.1960398999998,15.674338916463753,24.26504217938628,30.850081457392275,72.19999389999992,106.54117844999992,132.6660891499994,9628076,9798168,9371282,13111303,51916203,53893665,87,93,103,0.3170813,0.39464828,0.41732144,0.54385966,0.54320985,0.5382716,0.18217808,0.22976749,0.26695997,0.22885571,0.26530612,0.3084833,0.72451484,0.8483976,0.91088563,175764,180743,188616,2581,3571,4962,887.7594661841126,862.5020304790264,827.2986107009814
1644023172,14041,21944,22972,90770888,108978288,152279512,378753216,398038528,696036864,76041.06288909912,174202.91548156738,770678.8752288818,2962033085,3442374603,4603237629,35906.055,45349.81,55505.33,608.3807576480002,624.6518610892949,655.4937340327069,710.1810257999999,775.8226616,875.2906823499999,15.540398339078335,24.874231676248137,31.275220727784134,73.6483078999999,108.02638409999985,133.16343894999991,9642320,9753601,9342621,13104614,51869266,53651857,103,95,103,0.3183621,0.39307377,0.41694176,0.5652174,0.5436409,0.5415617,0.18187161,0.23194185,0.26612866,0.23350254,0.2839196,0.32911393,0.72527456,0.85197747,0.9109205,175861,180652,189717,3019,3549,4799,886.925349994461,863.5605357485341,823.0769021257881
