timestamp,none:startupDurationMs,splunk-otel:startupDurationMs,profiler:startupDurationMs,none:minHeapUsed,splunk-otel:minHeapUsed,profiler:minHeapUsed,none:maxHeapUsed,splunk-otel:maxHeapUsed,profiler:maxHeapUsed,none:totalAllocatedMB,splunk-otel:totalAllocatedMB,profiler:totalAllocatedMB,none:totalGCTime,splunk-otel:totalGCTime,profiler:totalGCTime,none:maxThreadContextSwitchRate,splunk-otel:maxThreadContextSwitchRate,profiler:maxThreadContextSwitchRate,none:iterationAvg,splunk-otel:iterationAvg,profiler:iterationAvg,none:iterationP95,splunk-otel:iterationP95,profiler:iterationP95,none:requestAvg,splunk-otel:requestAvg,profiler:requestAvg,none:requestP95,splunk-otel:requestP95,profiler:requestP95,none:netReadAvg,splunk-otel:netReadAvg,profiler:netReadAvg,none:netWriteAvg,splunk-otel:netWriteAvg,profiler:netWriteAvg,none:peakThreadCount,splunk-otel:peakThreadCount,profiler:peakThreadCount,none:averageCpuUser,splunk-otel:averageCpuUser,profiler:averageCpuUser,none:maxCpuUser,splunk-otel:maxCpuUser,profiler:maxCpuUser,none:averageCpuSystem,splunk-otel:averageCpuSystem,profiler:averageCpuSystem,none:maxCpuSystem,splunk-otel:maxCpuSystem,profiler:maxCpuSystem,none:averageMachineCpuTotal,splunk-otel:averageMachineCpuTotal,profiler:averageMachineCpuTotal,none:runDurationMs,splunk-otel:runDurationMs,profiler:runDurationMs,none:gcPauseMs,splunk-otel:gcPauseMs,profiler:gcPauseMs,none:throughputAvg,splunk-otel:throughputAvg,profiler:throughputAvg
1641850194,20571,22871,23838,92441520,110750904,125736448,338511872,351637360,608174080,77635.4980545044,173116.9570388794,787552.1827316284,2871652334,3550514357,4842536996,38087.863,50108.805,48786.64,609.9541734418809,624.2558502984725,658.7299645345876,721.4426649,763.29184505,860.9655103499997,16.373765623790916,24.196305194640285,32.39432805954875,74.2458666499998,103.10674699999993,136.58622574999967,9748402,9673169,9226495,13270944,51508023,53481730,90,95,97,0.31225577,0.3897083,0.4515952,0.57416266,0.564433,0.5794621,0.16397238,0.20367311,0.24489069,0.21882951,0.24810126,0.2960199,0.69371104,0.81338245,0.9170611,176733,180579,190625,2936,3663,5265,884.5051320047806,864.3352522711037,818.9872196692206
1641851057,14895,24201,23795,90535488,112110464,126002688,475636624,353635840,608698368,81878.89276885986,164805.2855682373,789411.0730514526,3761855878,3699955219,5574677110,38405.992,48018.273,55862.15,608.9540612137627,626.2702610410572,672.633574688706,709.56208005,767.3506265999998,882.9510367499995,16.542997306229104,25.451759199836804,34.900338887758174,76.59710554999994,110.63309344999986,143.34370329999996,9740944,9701442,9066766,13264129,51568743,52756356,85,104,97,0.3259584,0.4092604,0.47383812,0.58128077,0.55609757,0.5798526,0.16719265,0.20873566,0.2448768,0.20551379,0.25490198,0.29974812,0.71260226,0.8406424,0.9397192,176008,180826,194686,3848,3793,6186,886.0766319253995,861.4080687219293,802.0729758366969
1641851923,15020,24204,23030,89655448,108003328,133817320,504981088,384605696,612368384,76062.32098388672,171660.14883422852,765774.6289367676,3184982810,3813631662,5196209441,37768.43,50114.547,58198.145,610.6746578962343,626.7314307278793,664.2110895645882,718.6777584499998,773.81133415,863.7254826999998,16.617912740313727,25.017634358255293,33.213868083359245,75.80119364999986,108.77001254999922,137.43946494999977,9698355,9616622,9158669,13180994,51212249,53136786,101,93,98,0.32592613,0.39817658,0.4584563,0.56632656,0.5609137,0.5869018,0.16707769,0.20522061,0.24416684,0.21374045,0.2468828,0.29166666,0.7106625,0.8254539,0.92444694,176730,181643,191665,3262,3899,5522,883.52454592191,860.7267998434902,812.3520338036413
1641852796,14914,24257,23678,89306560,107978752,118794240,388713512,407513088,532388352,78983.52182769775,177183.46151733398,772997.110748291,2951603538,3099612397,5377167653,35371.402,63421.336,51934.152,608.4765250437644,623.3670253979976,661.0741054115302,708.2670444999999,756.85068925,860.1600266,16.173920694026197,23.94420532676491,32.85718655409838,73.63768269999993,106.85321334999986,137.2046858499999,9678306,9708683,9176167,13163822,51625087,53187219,93,101,98,0.32220054,0.38747442,0.45635924,0.59079283,0.56157637,0.5731707,0.16712895,0.20668831,0.24806462,0.21707317,0.26804122,0.29715762,0.7111381,0.8162883,0.928357,175824,180668,190749,3019,3179,5898,886.7456300434426,865.2943214621162,816.1380942697292
1641853662,14972,22932,23604,90348280,114809600,139609208,384722184,400216064,923339776,75868.06539916992,161649.39978790283,784508.9335861206,3139469230,3420509161,5194063957,38671.363,47464.402,59596.297,610.2230069995296,626.4602582808227,655.3352632523523,709.94311075,767.5579747999997,847.2089092499995,16.820879449405524,24.926329416378312,32.04496435233346,76.79863744999997,109.91162784999993,134.2316805499995,9725832,9682341,9267836,13222322,51463678,54017229,96,112,99,0.32578963,0.4036672,0.4473541,0.60714287,0.5714286,0.5721519,0.16889274,0.20589899,0.24557173,0.2364532,0.2607595,0.2857143,0.7191013,0.8351837,0.9163893,176750,181669,189650,3216,3508,5330,884.2423203246556,861.1253357669361,823.2694404523377
1641854528,14882,22948,22811,89361064,112373280,120825856,383172800,388934656,509686272,76920.87882995605,176044.39246368408,780491.1516189575,2956866323,3323925932,5473471915,37717.27,51456.24,59521.688,609.184984249648,626.1026042712949,672.2656006797629,717.8319283999998,771.6318625,882.69497425,16.637078723993426,24.84717055822905,34.93513107322268,75.61556639999984,107.59406799999958,143.70832134999984,9682211,9658352,9154793,13176127,51369224,53651463,89,95,110,0.32242665,0.39588147,0.46353698,0.59,0.5872236,0.57739556,0.1642431,0.20726186,0.24537392,0.22193877,0.26044226,0.2932331,0.7069605,0.82692933,0.92983943,176733,180884,194603,3030,3412,6239,885.5499929929791,861.5795460570988,802.3754750642383
1641855399,14942,23099,23655,89523712,111268352,121704960,336898640,389744128,529314304,72772.47566986084,166005.2398300171,753889.4064483643,2943681660,3636964067,5450990214,37326.14,47760.133,66529.06,609.9440330689412,627.7876745992954,670.2432700122341,712.3266633,768.2318687999999,890.5751636999998,16.933855255365902,25.389320325692815,33.84513050122829,76.75183084999995,109.34089669999962,143.60125239999996,9726422,9476454,9072866,13236931,50495013,52620750,91,96,103,0.33762887,0.40016887,0.45691612,0.58838385,0.5724816,0.58809525,0.16862968,0.20443583,0.24524407,0.22195122,0.2673522,0.31136364,0.7287221,0.82390755,0.923879,176670,184624,193627,3014,3732,6048,884.5765197635708,859.4862681737193,804.9457849890823
1641856263,14961,22993,24690,90753872,107144704,125266944,373436888,389021696,602882048,106351.07933807373,165820.47312927246,772610.6842193604,3051424982,3071952951,5010113311,37406.273,45890.785,55014.062,608.1023647690615,625.5388359556474,667.7347695148263,716.4850019999998,769.5957932499999,882.9152134999997,16.9934268570194,24.765183124202856,33.60555360873232,76.11745559999984,106.19404929999985,140.29098519999985,9744001,9680054,9114628,13241509,51383620,53225121,100,96,100,0.3315743,0.3996002,0.45994452,0.58208954,0.55684453,0.57816374,0.1673015,0.20708232,0.24590144,0.22058824,0.24547803,0.2962963,0.7226794,0.829733,0.9285554,175762,180694,192628,3116,3132,5337,887.1514807548133,862.4666555058946,807.9935281152718
1641857131,14870,22895,23819,88007408,112658432,122125104,324988416,390070272,610271232,77442.72370910645,168846.45310211182,765267.9093704224,2676510949,3461178916,5053099809,35533.66,44839.09,67616.9,609.8090734234119,624.6562375530598,675.1102349641171,707.8147600499999,765.2237306999998,887.5260612499999,16.74725571226808,24.646426646535986,34.64413581985,76.56891909999997,106.62637184999973,143.31141929999987,9762560,9657761,9107486,13294707,51443785,53016785,85,99,97,0.33238965,0.39587685,0.46000096,0.5859564,0.5703518,0.5788177,0.16767946,0.2066024,0.24727045,0.23232323,0.25062656,0.29339853,0.72453564,0.8249858,0.92996055,176784,180721,194727,2786,3562,5417,884.7914046117218,863.6715108719169,799.1805156149414
1641858001,15024,23710,23681,89667792,112784896,117843392,525588296,389328896,561402728,109604.59898376465,171709.920463562,772981.2894897461,3599279341,3567237335,5417155978,36982.633,53511.074,52993.64,608.4514912849428,626.4954002705877,677.5268695116463,704.5007394999999,765.5811208999999,884.5540601499999,16.906100778098363,25.223481425189973,35.79255403254937,78.14448774999987,108.7901941499991,146.93409814999998,9666486,9724469,8974386,13156478,51899604,52579129,88,98,100,0.32281837,0.40767843,0.47114858,0.581864,0.5686275,0.5724299,0.16653644,0.20905313,0.24525128,0.21167883,0.25862068,0.29238328,0.7110336,0.841021,0.93846303,175914,181668,195639,3688,3669,6284,886.6137945619327,861.1786567257952,796.298004058855
